municipio,link_portal_transp,link_prefeitura,observacoes,fornecedor,tipo_fornecer,Fornecedor: Gestões Anteriores,,,,,,,,,,,
Marizópolis,http://www.marizopolis.pb.gov.br/portal-da-transparencia.html,http://www.marizopolis.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Massaranduba,http://www.massaranduba.pb.gov.br/transparencia,http://massaranduba.pb.gov.br/,,IMAP,Único,N/A,,,,,,,,,,,
Mataraca,http://www.mataraca.pb.gov.br/portal-da-transparencia/,http://www.mataraca.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,
Matinhas,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=NbA=,http://www.matinhas.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Mato Grosso,http://matogrosso.pb.gov.br/,http://matogrosso.pb.gov.br/,A parte referente ao Portal da Transparência está inserida no portal da prefeitura,DC Soluções / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Matureia,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=Mtss,http://www.matureia.pb.gov.br/portal/,,Publicsoft,Único,N/A,,,,,,,,,,,
Mogeiro,http://transparencia.mogeiro.pb.gov.br/,http://mogeiro.pb.gov.br/,,Alfa Consultoria / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Montadas,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=MLIr,http://www.montadas.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Monte Horebe,http://transparencia.montehorebe.pb.gov.br/,http://montehorebe.pb.gov.br/,,RedeNet Soluções / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Monteiro,http://www.monteiro.pb.gov.br/portal-da-transparencia,http://www.monteiro.pb.gov.br/,,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Mulungu,http://mulungu.pb.gov.br/transparencia/,http://mulungu.pb.gov.br/,,Portal Próprio / e-TICons,Múltiplos,Elmar Tecnologia,,,,,,,,,,,
Natuba,http://transparencia.natuba.pb.gov.br/,http://natuba.pb.gov.br/,,Alfa Consultoria / Publicsoft,Múltiplos,Aspec Informática,,,,,,,,,,,
Nazarezinho,http://nazarezinho.pb.gov.br/transpar%C3%AAncia-p%C3%BAblica/portal-da-transpar%C3%AAncia.html,http://www.nazarezinho.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Nova Floresta,http://portaldatransparencia.lhsystem.com.br/PMNF/,http://www.novafloresta.pb.gov.br/,,LHSystem / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Nova Olinda,http://novaolinda.pb.gov.br/includes/transparencia/transparencia.php,http://www.novaolinda.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Nova Palmeira,http://transparencia.elmar.inf.br/?e=201129,http://www.novapalmeira.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Olho d'Água,http://olhodagua.pb.gov.br/assuntos/portal-da-transparencia,http://olhodagua.pb.gov.br/,,EasyWeb / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Olivedos,http://www.olivedos.pb.gov.br/transparencia/,http://olivedos.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Ouro Velho,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/views/views_control/index.php?cidade=O5w=&uf=PB,http://ourovelho.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Parari,http://transparenciaativa.com.br/?Entidade=63,http://parari.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Passagem,http://passagem.pb.gov.br/assuntos/portal-da-transparencia,http://passagem.pb.gov.br/,,EasyWeb / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Patos,http://patos.pb.gov.br/servicos/portal_da_transparencia,http://patos.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Paulista,http://paulista.pb.gov.br/assuntos/portal-da-transparencia,http://paulista.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Pedra Branca,http://pedrabranca.pb.gov.br/includes/transparencia/transparencia.php,http://www.pedrabranca.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Pedra Lavrada,http://portaldatransparencia.lhsystem.com.br/PMPL/,http://www.pedralavrada.pb.gov.br/,,LHSystem,Único,N/A,,,,,,,,,,,
Pedras de Fogo,http://www.pedrasdefogo.pb.gov.br/acesso-a-informacao/portal-da-transparencia/,http://www.pedrasdefogo.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Pedro Régis,http://transparencia.pedroregis.pb.gov.br/,http://www.pedroregis.pb.gov.br/,,Alfa Consultoria / Publicsoft / Elmar Tecnologia,Múltiplos,Aspec Informática,,,,,,,,,,,
Piancó,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=Mtx0,http://www.pianco.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Picuí,http://www.picui.pb.gov.br/portal-da-transparencia,http://www.picui.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Pilar,http://www.pilar.pb.gov.br/transparencia/,http://www.pilar.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Pilões,http://www.piloes.pb.gov.br/transparencia/,http://www.piloes.pb.gov.br/,,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Pilõezinhos,http://transparencia.piloezinhos.pb.gov.br/,http://www.piloezinhos.pb.gov.br/,Mudou empresa e só é possível acessar dados de 2017,Alfa Consultoria / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Pirpirituba,http://transparencia.pirpirituba.pb.gov.br/,http://www.pirpirituba.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Pitimbu,http://www.pitimbu.pb.gov.br/portal-da-transparencia,http://www.pitimbu.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Pocinhos,http://www.pocinhos.pb.gov.br/,http://www.pocinhos.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,****
Poço Dantas,http://www.pocodantas.pb.gov.br/portal-transparencia/,http://www.pocodantas.pb.gov.br/,,Newsites / Betha Sistemas,Múltiplos,N/A,,,,,,,,,,,
Poço de José de Moura,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=N9df,http://pocodejosedemoura.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Pombal,http://www.pombal.pb.gov.br/site/transparencia/prefeitura/,http://www.pombal.pb.gov.br/site/,,Publicsoft,Único,N/A,,,,,,,,,,,
Prata,http://siteseticons.com.br/portal/ws/empresa/MDkwNzQxMTMwMDAxMDY=,http://prata.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Princesa Isabel,http://www.princesa.pb.gov.br/portal-da-transparencia,http://www.princesa.pb.gov.br/,,Portal Próprio / Elmar Tecnologia ,Múltiplos,N/A,,,,,,,,,,,
Puxinanã,http://www.puxinana.pb.gov.br/portal-da-transparencia,http://www.puxinana.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Queimadas,http://www.queimadas.pb.gov.br/portal-da-transparencia,http://www.queimadas.pb.gov.br/,,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Quixaba,http://quixaba.pb.gov.br/assuntos/portal-da-transparencia,http://quixaba.pb.gov.br/,,EasyWeb / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Remígio,http://www.remigio.pb.gov.br/portal-da-transparencia,http://www.remigio.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Riachão,http://transparencia.riachao.pb.gov.br/,http://www.riachao.pb.gov.br/,,Alfa Consultoria / Publicsoft / Info Public,Múltiplos,Aspec Tecnologia,,,,,,,,,,,
Riachão do Bacamarte,http://riachaodobacamarte.pb.gov.br/portal-da-transparencia/,https://riachaodobacamarte.pb.gov.br/,,Informação Pública / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Riachão do Poço,http://www.riachaodopoco.pb.gov.br/portal-da-transparencia,http://www.riachaodopoco.pb.gov.br/,Abre Modal,Portal Próprio / Publicsoft / e-TICons,Múltiplos,e-TICons,,,,,,,,,,,
Riacho de Santo Antônio,http://www.riachodesantoantonio.pb.gov.br/transparencia/,http://www.riachodesantoantonio.pb.gov.br/,,Conteúdo Design / Info Public / Elmar Tecnologia / Grupo Assesi,Múltiplos,N/A,,,,,,,,,,,
Riacho dos Cavalos,http://riachodoscavalos.pb.gov.br/assuntos/portal-da-transparencia,http://riachodoscavalos.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Rio Tinto,http://transparencia.riotinto.pb.gov.br/,http://www.riotinto.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,Aspec Informática / Publicsoft,,,,,,,,,,,
Salgadinho,http://salgadinho.pb.gov.br/assuntos/portal-da-transparencia,http://salgadinho.pb.gov.br/,,EasyWeb / Elmar Tecnologia / Info Public,Múltiplos,N/A,,,,,,,,,,,
Salgado de São Félix,http://transparencia.salgadosaofelix.pb.gov.br/,http://www.salgadosaofelix.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,
Santa Cecília,http://www.santacecilia.pb.gov.br/portal-da-transparencia-municipio/,http://www.santacecilia.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,
Santa Cruz,http://santacruz.pb.gov.br/portal-da-transparencia.html,http://santacruz.pb.gov.br/,,Portal Próprio / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Santa Helena,http://transparencia.santahelena.pb.gov.br/,http://santahelena.pb.gov.br/,,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Santa Inês,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/views/views_control/index.php?cidade=Mto=&uf=PB,http://www.santaines.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Santa Luzia,http://santaluzia.pb.gov.br/assuntos/portal-da-transparencia,http://www.santaluzia.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Santa Rita,http://www.santarita.pb.gov.br/s/transparencia,http://www.santarita.pb.gov.br/s/,,e-TICons / Info Public,Múltiplos,Publicsoft,,,,,,,,,,,
Santa Terezinha,http://santaterezinha.pb.gov.br/assuntos/portal-da-transparencia,http://santaterezinha.pb.gov.br/,,EasyWeb / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Santana de Mangueira,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=Mt/o,http://www.santanademangueira.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Santana dos Garrotes,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=NGk=,http://www.santanadosgarrotes.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Santo André,http://portaldatransparencia.lhsystem.com.br/PMSA/,http://www.santoandre.pb.gov.br/,,LHSystem / Elmar Tecnologia,Múltiplos,Info Public,,,,,,,,,,,
São Bentinho,http://www.siteseticons.com.br/portal/ws/empresa/MDE2MTI2OTAwMDAxMDA=,https://www.saobentinho.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
São Bento,http://transparencia.saobento.pb.gov.br/,http://www.saobento.pb.gov.br/,O portal da transparência do município está com problema no acesso aos dados (04/12/2017),Alfa Consultoria,Único,,,,,,,,,,,,
São Domingos,http://transparencia.saodomingos.pb.gov.br/,http://www.saodomingos.pb.gov.br/home/,,SD NetWord / Elmar Tecnologia / Portal Próprio,Múltiplos,N/A,,,,,,,,,,,
São Domingos do Cariri,http://transparencia.elmar.inf.br/?e=201180,http://www.saodomingosdocariri.pb.gov.br/site/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
São Francisco,http://www.saofrancisco.pb.gov.br/portal-da-transparencia.html,http://www.saofrancisco.pb.gov.br/,,Portal Próprio / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
São João do Cariri,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=ML05,http://www.saojoaodocariri.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
São João do Rio do Peixe,http://www.sjrp.pb.gov.br/,http://www.sjrp.pb.gov.br/,"Sem acesso 30/11/2017, 16:16",,,,,,,,,,,,,,
São João do Tigre,http://siteseticons.com.br/portal/ws/empresa/MDkwNzQ1OTIwMDAxNjA=,http://www.saojoaodotigre.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
São José da Lagoa Tapada,http://www.saojoselt.pb.gov.br/portal-da-transparencia.html,http://www.saojoselt.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
São José de Caiana,http://siteseticons.com.br/portal/ws/empresa/MDg4OTE1NDEwMDAxNjk=,http://www.saojosedecaiana.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
São José de Espinharas,http://saojosedeespinharas.pb.gov.br/assuntos/portal-da-transparencia,http://saojosedeespinharas.pb.gov.br/,,e-TICons / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
São José de Piranhas,http://www.saojosedepiranhas.pb.gov.br/portal-da-transparencia.html,http://www.saojosedepiranhas.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
São José de Princesa,http://www.saojosedeprincesa.pb.gov.br/transparencia/,http://www.saojosedeprincesa.pb.gov.br/,,Portal Próprio / e-TICons,Múltiplos,N/A,,,,,,,,,,,
São José do Bonfim,http://saojosedobonfim.pb.gov.br/assuntos/portal-da-transparencia,http://saojosedobonfim.pb.gov.br/,,EasyWeb / e-TICons,Múltiplos,N/A,,,,,,,,,,,
São José do Brejo do Cruz,http://saojosedobrejodocruz.pb.gov.br/portal-de-transparencia-municipal/,http://saojosedobrejodocruz.pb.gov.br/,,Portal Próprio,Único,N/A,,,,,,,,,,,
São José do Sabugi,http://saojosedosabugi.pb.gov.br/assuntos/portal-da-transparencia,http://saojosedosabugi.pb.gov.br/,,EasyWeb / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
São José dos Cordeiros,http://transparenciaativa.com.br/?Entidade=71,http://www.saojosedoscordeiros.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
São José dos Ramos,http://www.transparenciaativa.com.br/Principal.aspx?Entidade=22,http://www.saojosedosramos.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
São Mamede,http://saomamede.pb.gov.br/assuntos/portal-da-transparencia,http://saomamede.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
São Miguel de Taipu,http://www.saomigueldetaipu.pb.gov.br/portal-da-transparencia.html,http://www.saomigueldetaipu.pb.gov.br/,,Portal Próprio / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
São Sebastião de Lagoa de Roça,http://www.transparenciaativa.com.br/Principal.aspx?Entidade=99,http://www.lagoaderoca.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
São Sebastião do Umbuzeiro,http://siteseticons.com.br/portal/ws/empresa/MDkwNzQ5OTgwMDAxNDM,http://www.ssdoumbuzeiro.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
São Vicente do Seridó,http://transparencia.saovicentedoserido.pb.gov.br/,http://www.saovicentedoserido.pb.gov.br/,,Alfa Consultoria / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Sapé,http://www.sape.pb.gov.br/portal-da-transparencia.html,http://www.sape.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Serra Branca,http://www.serrabranca.pb.gov.br/sb/,http://www.serrabranca.pb.gov.br/,Não consegue acessar pela URL,e-TICons,Único,Elmar Tecnologia,,,,,,,,,,,
Serra da Raiz,http://transparencia.serradaraiz.pb.gov.br/,http://www.serradaraiz.pb.gov.br/,,Alfa Consultoria / Info Public,Múltiplos,N/A,,,,,,,,,,,
Serra Grande,http://serragrande.pb.gov.br/assuntos/portal-da-transparencia,http://serragrande.pb.gov.br/,,EasyWeb / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Serra Redonda,http://serraredonda.pb.gov.br/portal-da-transparencia/,https://serraredonda.pb.gov.br/,,Informação Pública / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Serraria,http://transparencia.serraria.pb.gov.br/,http://www.serraria.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Sertãozinho,http://transparencia.sertaozinho.pb.gov.br/,http://www.sertaozinho.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia / Betha Sistemas,Múltiplos,N/A,,,,,,,,,,,
Sobrado,http://sobrado.pb.gov.br/assuntos/portal-da-transparencia,http://sobrado.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Solânea,http://www.solanea.pb.gov.br/portal-da-transparencia,http://www.solanea.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Soledade,http://transparencia.soledade.pb.gov.br/,http://www.soledade.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Sossêgo,http://www.sossego.pb.gov.br/portal-da-transparencia,http://www.sossego.pb.gov.br/,,Portal Próprio / Info Public,Múltiplos,N/A,,,,,,,,,,,
Sousa,http://www.sousa.pb.gov.br/cont.php?pagina=transparencia,http://www.sousa.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Sumé,http://www.sume.pb.gov.br/transparencia/,http://www.sume.pb.gov.br/,,Portal Próprio,Único,Elmar Tecnologia,,,,,,,,,,,
Tacima,http://pmtacima.pb.gov.br/transparencia,http://www.pmtacima.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Taperoá,http://taperoa.pb.gov.br/assuntos/portal-da-transparencia,http://taperoa.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Tavares,http://tavares.pb.gov.br/assuntos/portal-da-transparencia,http://tavares.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Teixeira,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/controleDeAcessoAsConsultas.php?access_direct=Nbc=,http://www.teixeira.pb.gov.br/site/,,Publicsoft,Único,N/A,,,,,,,,,,,
Tenório,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/views/views_control/index.php?cidade=MLg=&uf=PB,http://tenorio.pb.gov.br/,,Softgov / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Triunfo,http://www.triunfo.pb.gov.br/portal-da-transparencia/,http://www.triunfo.pb.gov.br/,,Newsites,Único,N/A,,,,,,,,,,,
Uiraúna,http://www.uirauna.pb.gov.br/portal-da-transparencia/,http://www.uirauna.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Umbuzeiro,http://transparenciaativa.com.br/?Entidade=189,http://www.umbuzeiro.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Várzea,http://varzea.pb.gov.br/assuntos/portal-da-transparencia,http://varzea.pb.gov.br/,,EasyWeb / e-TICons / Publicsoft,Múltiplos,N/A,,,,,,,,,,,
Vieirópolis,http://www.vieiropolis.pb.gov.br/portal-da-transparencia.html,http://www.vieiropolis.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Vista Serrana,http://vistaserrana.pb.gov.br/assuntos/portal-da-transparencia,http://vistaserrana.pb.gov.br/,,EasyWeb / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Zabelê,http://www.zabele.pb.gov.br/portaltransparencia/,http://zabele.pb.gov.br/,,Portal Próprio / e-TICons,Múltiplos,N/A,,,,,,,,,,,
